date,port_rets,btc_rets,ret_diff,turnover,concentration,eq_curve_port,drawdown,ADAUSDT,BCHUSDT,BNBUSDT,EOSUSDT,ETHUSDT,LTCUSDT,TRXUSDT,XLMUSDT,XMRUSDT,XRPUSDT
2024-12-02,0.08129013316094172,-0.01383503122595442,0.09512516438689614,0.49999999999999994,0.2607648730472454,1.0812901331609417,0.0,0.27995117283074433,0.0,0.1601464815077669,0.0,0.0,0.0,0.27995117283074433,0.0,0.0,0.27995117283074433
2024-12-03,0.26797997462311285,9.463628261174861e-05,0.2678853383405011,0.012819975761778388,0.26405579522977135,1.3710542356056332,0.0,0.2842244980846705,0.0,0.14732650574598857,0.0,0.0,0.0,0.2842244980846705,0.0,0.0,0.2842244980846705
2024-12-04,-0.016577375915462086,0.028561699051921963,-0.04513907496738405,0.4315510038306591,0.269190001064142,1.3483257541415121,-0.016577375915462045,0.29148584182996135,0.0,0.0,0.28695426517780503,0.0,0.0,0.0,0.13007405116227239,0.0,0.29148584182996135
2024-12-05,-0.020479025725163684,-0.016652141472148774,-0.0038268842530149103,0.02626915909115067,0.261695459020846,1.3207133563365474,-0.036716913132797235,0.28121892991552566,0.0,0.0,0.28121892991552566,0.0,0.0,0.0,0.156343210253423,0.0,0.28121892991552566
2024-12-06,0.050280110107405136,0.028832759145512643,0.021447350961892493,0.010419931246704539,0.2644426184702845,1.3871189693134696,0.0,0.28469224033109386,0.0,0.0,0.28469224033109386,0.0,0.0,0.0,0.1459232790067185,0.0,0.28469224033109386
2024-12-07,0.015115079695529787,0.0009138683812970338,0.014201211314232753,0.011062295636796435,0.2615355777658628,1.4080853830818236,0.0,0.2810048084521617,0.0,0.0,0.2810048084521617,0.0,0.0,0.0,0.15698557464351487,0.0,0.2810048084521617
2024-12-08,-0.013215569601033214,0.012797501081567075,-0.026013070682600288,0.021525436950994348,0.2674925067432218,1.3894767326975084,-0.013215569601033095,0.28817995410249314,0.0,0.0,0.28817995410249314,0.0,0.0,0.0,0.13546013769252052,0.0,0.28817995410249314
2024-12-09,-0.169394156343465,-0.0379105483466009,-0.1314836079968641,0.00776837277653232,0.26520020130220956,1.1541074938033398,-0.18037108568133275,0.2855904965103157,0.0,0.0,0.2855904965103157,0.0,0.0,0.0,0.14322851046905286,0.0,0.2855904965103157
2024-12-10,0.03113267347992037,-0.007026056763778543,0.03815873024369891,0.08348430261634653,0.23180189483660485,1.1900379455686485,-0.15485384631714794,0.2798201059674212,0.0,0.06943072098847006,0.21364697497975824,0.0,0.0,0.0,0.15728209209692934,0.0,0.2798201059674212
2024-12-11,0.03394080237566385,0.04691851376393741,-0.012977711388273555,0.03912186422282424,0.22496302007322982,1.2304287882987348,-0.12616890773644596,0.28135044651132324,0.0,0.10549190412349016,0.18123854193115055,0.0,0.0,0.0,0.15056866092271276,0.0,0.28135044651132324
2024-12-12,0.0009209984647117494,-0.011082422744128628,0.012003421208840378,0.04890716639257,0.23573866569576063,1.2315620113236951,-0.12536411064205388,0.2877093410224322,0.0,0.07661218102980287,0.21742791930150276,0.0,0.0,0.0,0.13054121762383014,0.0,0.2877093410224322
2024-12-13,0.014038159078074305,0.014198990863292016,-0.00016083178521771047,0.20715339865363294,0.333683128910806,1.2488508747531704,-0.11308583289185392,0.34096872873318745,0.0,0.0,0.3180625425336251,0.0,0.0,0.0,0.0,0.0,0.34096872873318745
2024-12-14,-0.03912025116179845,-4.19031937628489e-05,-0.0390783479680356,0.1531281031858037,0.26314977765942593,1.1999955148691948,-0.1477821378680818,0.2925988690231872,0.0,0.0,0.2616741587678219,0.0,0.0,0.0,0.15312810318580375,0.0,0.2925988690231872
2024-12-15,0.028022391178233196,0.030013705383553635,-0.0019913142053204387,0.028852736955994787,0.25743956000044455,1.2336222585989847,-0.12390095556634362,0.28722612774183326,0.0,0.0,0.243566904374535,0.0,0.0,0.0,0.1819808401417985,0.0,0.28722612774183326
2024-12-16,-0.01720519633904378,0.01526526030644626,-0.032470456645490045,0.015819978877501376,0.25502565978954983,1.2123975454315745,-0.1389744116382733,0.27931613830308255,0.0,0.0,0.24886112140690303,0.0,0.0,0.0,0.19250660198693179,0.0,0.27931613830308255
2024-12-17,0.005005921680874282,0.0007079101319968917,0.004298011548877391,0.0559158746089492,0.24426578293217444,1.2184667125900892,-0.13466418497770583,0.2891742257581532,0.0,0.0,0.2194217585467881,0.03619969969880799,0.0,0.0,0.16603009023809762,0.0,0.2891742257581532
2024-12-18,-0.0953779506456561,-0.0558703575319216,-0.0395075931137345,0.06819580378291487,0.2521528532897002,1.1022518546132969,-0.21719814163482076,0.27317617371609976,0.0,0.0,0.22535529347445454,0.0,0.0,0.0,0.22829235909334603,0.0,0.27317617371609976
2024-12-19,-0.06598852264550752,-0.027365671293993032,-0.038622851351514484,0.08412926407424516,0.25195527834271125,1.0295158831440947,-0.26885407979249676,0.3012396399430194,0.0,0.02800233162040589,0.15822066844846835,0.0,0.0,0.0,0.21129772004508704,0.0,0.3012396399430194
2024-12-20,0.03531734089626892,0.0035252764517319513,0.03179206444453697,0.16841918509358553,0.20504225368305695,1.0658756465472181,-0.243031950083612,0.27535851194344124,0.0,0.13049268523500746,0.12127209912113307,0.065928831478984,0.0,0.0,0.1315893602779931,0.0,0.27535851194344124
2024-12-21,-0.03757663514055229,-0.005249707991702657,-0.03232692714884963,0.1323630566033567,0.23591468584909653,1.025823626271713,-0.2714762623083755,0.28599431502355593,0.0,0.14787462135024024,0.21498161344902764,0.06515513515362042,0.0,0.0,0.0,0.0,0.28599431502355593
